"COUNTRY","ISO COUNTRY CODE (ISO 3166)","MIC","OPERATING MIC","O/S","NAME-INSTITUTION DESCRIPTION","ACRONYM","CITY","WEBSITE","STATUS DATE","STATUS","CREATION DATE","COMMENTS"
"UNITED KINGDOM","GB","TRUK","TRUK","O","TRADING 212 UK LIMITED","","LONDON","WWW.TRADING212.COM","JUNE 2021","ACTIVE","JUNE 2021",""
"UNITED KINGDOM","GB","UGEN","UGEN","O","UNITEDBLOCKTRADE","","BRADFORD","WWW.UNITEDGENERAL.CO.UK","JUNE 2021","ACTIVE","JUNE 2021",""
"POLAND","PL","XGLO","XWAR","S","WARSAW STOCK EXCHANGE/ EQUITIES/GLOBAL CONNECT - MTF","","WARSAW","WWW.GPW.PL","JUNE 2021","ACTIVE","APRIL 2021","MULTILATERAL TRADING FACILITY."
"POLAND","PL","WIND","XWAR","S","WARSAW STOCK EXCHANGE/INDICES","GPWB","WARSAW","WWW.GPWBENCHMARK.PL","JUNE 2021","ACTIVE","MAY 2012",""
"SINGAPORE","SG","CNOD","CNOD","O","CNODE","CNODE","SINGAPORE","WWW.SGX.COM","JUNE 2021","ACTIVE","JUNE 2021","MULTI-ASSET ECN."
"LUXEMBOURG","LU","BGLU","BGLU","O","BGL BNP PARIBAS  - SYSTEMATIC INTERNALISER","BGL","LUXEMBOURG","WWW.BGL.LU","MAY 2021","ACTIVE","MAY 2021","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","FNIX","GFAM","S","GFI SECURITIES LLC - FENICS DELTA X","","NEW YORK","WWW.GFIGROUP.COM","MAY 2021","ACTIVE","DECEMBER 2019","U.S. CORPORATE BOND TRADING."
"UNITED STATES OF AMERICA","US","LATG","GFAM","S","GFI SECURITIES LLC - CREDITMATCH (LATG)","LATG","NEW YORK","WWW.GFIGROUP.COM","MAY 2021","ACTIVE","MAY 2021",""
"UNITED STATES OF AMERICA","US","GFAM","GFAM","O","GFI SECURITIES LLC - ALL MARKETS","","NEW YORK","WWW.GFIGROUP.COM","MAY 2021","ACTIVE","MAY 2021",""
"CYPRUS","CY","TMCY","TMCY","O","TRADING 212 MARKETS LIMITED - SYSTEMATIC INTERNALISER","T212CY","LIMASSOL","WWW.TRADING212.COM","MAY 2021","ACTIVE","MAY 2021","SYSTEMATIC INTERNALISER."
"UNITED STATES OF AMERICA","US","UBEC","UBEC","O","UNIVERSAL BARTER EXCHANGE CREDIT UNION","UBECU","ATLANTA","HTTP://AIROBOTCRYPTOBANK.COM","MAY 2021","ACTIVE","MAY 2021",""
"FRANCE","FR","ENSL","ESLO","S","ENGNSOL - OMP","","FIAC","HTTP://ENGNSOL.COM/","APRIL 2021","ACTIVE","APRIL 2021","REGISTERED ORGANIZED MARKET PLACE (OMP) IN THE CAPACITY OF AN ENERGY BROKER PLATFORM."
"FRANCE","FR","ESLO","ESLO","O","ENGNSOL","","FIAC","HTTP://ENGNSOL.COM/","APRIL 2021","ACTIVE","APRIL 2021",""
"UNITED KINGDOM","GB","IOTF","IOTF","O","ICAP UK OTF","ISL OTF","LONDON","WWW.TPICAP.COM/TPICAP/REGULATORY-HUB","AUGUST 2022","MODIFIED","NOVEMBER 2017",""
"GERMANY","DE","SEBA","SEBA","O","STIFEL EUROPE BANK AG  - SYSTEMATIC INTERNALISER","SEBA","FRANKFURT","WWW.STIFEL.COM","APRIL 2021","ACTIVE","APRIL 2021","SYSTEMATIC INTERNALISER."
"UNITED KINGDOM","GB","XUBS","XUBS","O","AQUIS EXCHANGE PLC - AMP - DARK ORDER BOOK","","LONDON","WWW.AQUIS.EU","APRIL 2022","ACTIVE","JULY 2010",""
"UNITED STATES OF AMERICA","US","AMLG","AMLG","O","AMERICAN LEDGER ATS","","MOORPARK","WWW.AMERICANLEDGER.COM","APRIL 2021","ACTIVE","APRIL 2021","ALTERNATIVE TRADING SYSTEM."
